Date,Close,High,Low,Open,Volume
6/21/2000,16.6273365,16.85965458,16.49458332,16.59414821,4396800
6/22/2000,16.69371605,16.76009265,16.52777454,16.59415114,3928900
6/23/2000,17.3242836,17.62297814,16.72689451,16.82645936,7978700
6/26/2000,17.75573921,17.8553041,17.45704453,17.49023283,4887200
6/27/2000,17.35747337,17.78892109,17.32428509,17.65616794,3422100
6/28/2000,17.10856056,17.42384926,16.99240157,17.25790784,3179800
6/29/2000,16.59414864,16.95921991,16.49458374,16.95921991,5545100
6/30/2000,17.49022293,17.54830242,16.69370424,16.72689252,6147600
7/3/2000,17.25790977,17.72254581,17.12515662,17.62298094,1681200
7/5/2000,16.89284325,17.29110281,16.79327836,17.25791452,5067000
7/6/2000,17.09197426,17.29110406,17.02559766,17.02559766,4010300
7/7/2000,17.25790977,17.78892238,16.99240347,17.12515662,3766600
7/10/2000,17.12516022,17.75573782,17.09197192,17.72254953,3013900
7/11/2000,17.29110146,17.55660781,17.12515998,17.45704293,3094500
7/12/2000,16.99240303,17.3242859,16.99240303,17.3242859,2893000
7/13/2000,16.72689819,17.22472254,16.46139187,17.22472254,6731700
7/14/2000,16.66052437,16.76008925,16.52777119,16.62733607,3143900
7/17/2000,16.6273365,16.76008969,16.52777161,16.72690139,2669400
7/18/2000,16.6273365,16.79327798,16.46139502,16.6273365,2651700
7/19/2000,16.66052437,16.69371266,16.46139459,16.62733607,3170500
7/20/2000,16.82645988,16.9924013,16.62733018,16.72689503,3266300
7/21/2000,16.39500809,16.92602049,16.22906671,16.92602049,4031800
7/24/2000,16.06313324,16.56095762,15.99675666,16.39501616,4192300
7/25/2000,16.6273365,16.6605248,15.96357057,16.46139502,6895700
7/26/2000,16.82645988,17.65616698,16.82645988,16.9924013,11296100
7/27/2000,17.09197426,17.92168175,17.02559766,17.52342215,6561400
7/28/2000,16.99240303,17.42385076,16.99240303,17.15834447,3092900
7/31/2000,16.82645988,17.32428414,16.69370675,17.22471929,4871300
8/1/2000,17.3242836,17.3242836,16.89283592,16.92602421,3134200
8/2/2000,17.75573921,17.82211581,17.29110305,17.29110305,4643100
8/3/2000,17.65616989,18.02124107,17.6229816,17.85529963,3805700
8/4/2000,17.7225399,17.88848129,17.52341024,17.58978679,2536600
8/7/2000,17.88848877,18.18718339,17.7889239,17.82211219,3078100
8/8/2000,17.78892326,18.12080616,17.55660524,18.05442958,2625500
8/9/2000,17.35747337,17.62297966,17.12515537,17.42384994,3548300
8/10/2000,17.42384911,17.55660224,17.32428425,17.49022567,2316000
8/11/2000,17.75573921,17.8553041,17.45704453,17.49023283,2224100
8/14/2000,17.68935966,17.75573625,17.5234182,17.75573625,2457400
8/15/2000,17.22472572,17.85530335,17.12516083,17.75573846,2872800
8/16/2000,17.19153976,17.29110467,17.02559826,17.22472807,2087600
8/17/2000,16.59414864,17.19153799,16.46139545,17.0587848,4735200
8/18/2000,16.76008224,16.95921193,16.46138771,16.52776427,3335400
8/21/2000,16.76008224,16.95921193,16.59414084,16.89283537,2985800
8/22/2000,16.6273365,16.92603117,16.56095991,16.82646628,3485600
8/23/2000,16.56095695,16.85965157,16.42820379,16.62733354,3414800
8/24/2000,16.12950897,16.62733332,15.93037923,16.56095674,6604900
8/25/2000,16.12950897,16.22907384,15.86400265,16.19588555,4992100
8/28/2000,16.12950897,16.16269726,15.93037923,15.93037923,4056200
8/29/2000,16.16269493,16.4613895,16.02994179,16.29544807,4823800
8/30/2000,16.12950897,16.16269726,15.89719094,16.16269726,4095000
8/31/2000,15.87229633,16.12950553,15.73124613,15.99675239,6792600
9/1/2000,15.69805813,15.9635644,15.56530499,15.7644347,4717000
9/5/2000,15.76443481,15.83081138,15.5984934,15.69805825,5208100
9/6/2000,15.99675941,16.09632431,15.69806474,15.69806474,4009200
9/7/2000,15.66487217,16.12950821,15.43255415,16.06313163,6629500
9/8/2000,15.26661968,15.69806763,15.00111325,15.56531442,6268100
9/11/2000,15.06748295,15.29980097,14.90154151,15.26661268,4514600
9/12/2000,15.39936447,15.69805904,14.76878705,14.96791676,11730400
9/13/2000,14.43690777,15.66487464,14.33734289,15.63168634,7816400
9/14/2000,14.47009754,14.73560392,14.00546138,14.73560392,17827100
9/15/2000,14.86836243,15.29981044,14.37053779,15.29981044,10175900
9/18/2000,15.1338644,15.1670527,14.56966332,14.83516971,5527900
9/19/2000,14.80197716,15.20023663,14.63603571,15.13386005,5110200
9/20/2000,14.70241451,14.83516769,14.33734327,14.8019794,4793200
9/21/2000,14.33733845,15.00110412,14.33733845,14.76878613,4128100
9/22/2000,15.23342896,15.54871779,14.96792257,15.23342896,6886900
9/25/2000,15.63168335,15.63168335,15.36617705,15.53211849,4416800
9/26/2000,15.86400032,15.99675346,15.63168232,15.66487061,5603100
